mission,route,difficulty,runs,wins,success_rate,avg_health_pct,avg_cargo_pct,avg_reward,avg_route_seconds,avg_enemies,avg_hazards
muddy_road,wagon_track,relaxed,20,10,0.500,49.6,99.2,201.4,59.6,24.8,13.8
muddy_road,wagon_track,standard,20,10,0.500,49.6,99.0,200.8,58.4,24.5,13.4
muddy_road,wagon_track,hard,20,8,0.400,34.5,99.0,167.9,55.7,24.7,13.0
muddy_road,old_shortcut,relaxed,20,15,0.750,72.8,98.8,280.1,51.8,21.0,12.5
muddy_road,old_shortcut,standard,20,11,0.550,47.1,98.9,217.4,48.1,21.3,12.4
muddy_road,old_shortcut,hard,20,6,0.300,26.7,97.9,141.6,41.2,22.0,13.1
bandit_bend,guarded_crossing,relaxed,20,12,0.600,47.0,72.4,250.5,71.9,30.7,17.2
bandit_bend,guarded_crossing,standard,20,11,0.550,41.7,68.9,230.6,67.5,29.1,15.7
bandit_bend,guarded_crossing,hard,20,8,0.400,24.8,56.5,170.9,61.2,31.9,16.9
bandit_bend,smugglers_cut,relaxed,20,12,0.600,44.9,90.7,263.9,55.5,24.4,13.4
bandit_bend,smugglers_cut,standard,20,7,0.350,20.6,82.9,164.4,45.9,24.2,13.5
bandit_bend,smugglers_cut,hard,20,4,0.200,6.1,82.8,107.8,39.7,24.0,14.5
courier_deadline,main_road,relaxed,20,10,0.500,62.9,87.1,183.4,59.1,24.0,13.5
courier_deadline,main_road,standard,20,11,0.550,52.2,85.4,193.1,57.8,24.4,13.8
courier_deadline,main_road,hard,20,6,0.300,26.3,76.0,138.8,54.1,28.0,14.9
courier_deadline,river_ford,relaxed,20,12,0.600,75.6,90.7,217.9,46.7,20.0,10.9
courier_deadline,river_ford,standard,20,9,0.450,54.3,89.1,184.5,46.4,23.6,13.3
courier_deadline,river_ford,hard,20,6,0.300,15.3,85.3,137.9,38.6,23.0,14.0
bonebridge_pass,chapel_road,relaxed,20,10,0.500,42.1,93.0,237.2,52.6,20.8,12.4
bonebridge_pass,chapel_road,standard,20,8,0.400,32.8,90.2,200.9,49.9,19.6,11.6
bonebridge_pass,chapel_road,hard,20,6,0.300,19.5,93.7,158.1,47.1,19.9,10.8
bonebridge_pass,crypt_bridge,relaxed,20,12,0.600,49.7,95.6,289.9,34.5,13.8,7.7
bonebridge_pass,crypt_bridge,standard,20,8,0.400,32.9,95.5,212.6,33.3,13.8,7.7
bonebridge_pass,crypt_bridge,hard,20,8,0.400,23.4,93.8,196.6,32.2,14.6,8.4
